"자치구별(1)",자치구별(2),1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),경찰서,지구대파출소치안센터,소방서,119안전센터,경찰서,지구대파출소치안센터,소방서,119안전센터,경찰서,지구대파출소치안센터,소방서,119안전센터,경찰서,지구대파출소치안센터,소방서,119안전센터,경찰서,지구대파출소치안센터,소방서,119안전센터,경찰서,지구대파출소치안센터,소방서,119안전센터,경찰서,지구대파출소치안센터,소방서,119안전센터,경찰서,지구대파출소치안센터,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터
"합계",소계,25,567,13,71,25,574,14,77,27,589,14,80,30,594,15,84,30,598,15,84,30,603,16,90,30,602,17,91,30,602,18,91,2,30,605,1,18,95,2,30,590,1,18,97,2,31,516,1,19,103,2,31,516,1,19,103,2,31,455,1,21,108,2,31,456,1,21,108,2,31,442,1,21,108,2,31,445,1,21,109,2,31,441,1,21,109,2,31,454,1,24,111,2,32,452,1,22,112,2,31,455,1,22,113,2,31,452,1,22,113,2,31,464,1,22,110,2,31,430,1,22,114,2,31,433,1,22,114,2,31,433,1,23,115,2,31,429,1,23,115,2,31,428,1,23,115,2,31,428,1,23,116,2,31,427,1,23,116,2,31,425,1,24,116,2,31,414,1,24,117,2,31,410,1,24,118,2,31,408,1,24,119,2,31,407,1,25,119
"합계",종로구,2,40,1,4,2,40,1,5,2,40,1,5,2,40,1,7,2,40,1,7,2,40,1,7,2,40,1,7,2,40,1,6,1,2,40,1,1,6,1,2,38,1,1,6,1,2,27,1,1,6,1,2,27,1,1,6,1,2,22,1,1,6,1,2,22,1,1,6,1,2,19,1,1,6,1,2,22,1,1,6,1,2,21,1,1,6,1,2,22,0,1,7,1,2,20,0,1,6,1,2,22,-,1,6,1,2,22,-,1,6,1,2,22,-,1,6,1,2,23,-,1,6,1,2,23,-,1,6,1,2,23,-,1,6,1,2,23,-,1,6,1,2,23,-,1,6,1,2,23,-,1,6,1,2,23,-,1,6,1,2,23,-,1,6,1,2,23,-,1,6,1,2,23,-,1,6,1,2,22,-,1,6,1,2,22,0,1,6
"합계",중구,2,43,1,3,2,43,1,3,2,43,1,3,2,43,1,3,2,43,1,3,2,43,1,3,2,43,1,3,2,43,1,3,-,2,43,-,1,3,-,2,38,-,1,4,-,2,28,-,1,5,-,2,28,-,1,5,-,2,18,-,1,5,-,2,18,-,1,5,-,2,18,-,1,5,0,2,18,0,1,5,0,2,18,0,1,5,0,2,18,1,1,5,0,2,12,1,1,3,-,2,18,1,1,5,-,2,18,1,1,5,-,2,19,1,1,9,-,2,18,1,1,5,-,2,17,1,1,5,-,2,17,1,1,5,-,2,17,1,1,5,-,2,18,1,1,5,-,2,18,1,1,5,-,2,19,1,1,5,-,2,18,1,1,5,-,2,18,1,1,5,-,2,18,1,1,5,-,2,18,1,1,5,0,2,18,1,1,5
"합계",용산구,1,29,1,4,1,29,1,4,1,29,1,4,1,29,1,4,1,29,1,4,1,29,1,5,1,29,1,5,1,29,1,5,-,1,29,-,1,5,-,1,27,-,1,5,-,1,21,-,1,5,-,1,21,-,1,5,-,1,15,-,1,5,-,1,15,-,1,5,-,1,15,-,1,5,0,1,15,0,1,5,0,1,15,0,1,5,0,1,15,0,1,5,0,1,15,0,1,5,-,1,15,-,1,5,-,1,15,-,1,5,-,1,17,-,1,6,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,0,1,12,0,1,5
"합계",성동구,2,41,1,5,2,41,1,5,2,41,1,5,2,41,1,5,2,41,1,5,2,41,1,6,2,41,1,6,1,24,1,4,-,1,24,-,-,4,-,1,24,-,-,3,-,1,18,-,-,5,-,1,18,-,-,3,-,1,16,-,-,4,-,1,16,-,1,5,-,1,15,-,1,4,0,1,18,0,1,4,0,1,18,0,0,4,0,1,16,0,0,4,0,1,16,0,0,4,-,1,15,-,-,4,-,1,15,-,-,4,-,1,19,-,-,3,-,1,15,-,-,3,-,1,15,-,-,3,-,1,15,-,-,4,-,1,15,-,-,4,-,1,15,-,-,4,-,1,15,-,-,4,-,1,15,-,-,4,-,1,15,-,1,4,-,1,15,-,1,4,-,1,15,-,1,4,-,1,15,-,1,4,0,1,15,0,1,4
"합계",광진구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,17,-,2,-,1,17,-,1,2,-,1,16,-,1,3,-,1,15,-,1,1,-,1,15,-,1,3,-,1,15,-,1,3,-,1,15,-,-,2,-,1,15,-,-,3,0,1,16,0,0,4,0,1,16,0,1,4,0,1,15,0,1,4,0,1,15,0,1,4,-,1,15,-,1,4,-,1,15,-,1,4,-,1,20,-,1,3,-,1,13,-,1,4,-,1,13,-,1,4,-,1,12,-,1,3,-,1,10,-,1,3,-,1,10,-,1,3,-,1,10,-,1,3,-,1,10,-,1,3,-,1,11,-,1,3,-,1,12,-,1,3,-,1,12,-,1,3,-,1,12,-,1,3,0,1,12,0,1,3
"합계",동대문구,1,34,1,3,1,34,1,3,1,34,1,3,1,34,1,3,1,34,1,3,1,34,1,4,1,34,1,4,1,34,1,4,-,1,34,-,1,4,-,1,31,-,1,4,-,1,29,-,1,4,-,1,29,-,1,4,-,1,22,-,1,4,-,1,22,-,1,4,-,1,22,-,1,4,0,1,19,0,1,2,0,1,19,0,1,2,0,1,22,0,1,4,0,1,22,0,1,5,-,1,22,-,1,5,-,1,23,-,1,5,-,1,21,-,1,5,-,1,22,-,1,5,-,1,22,-,1,5,-,1,22,-,1,5,-,1,22,-,1,5,-,1,22,-,1,5,-,1,22,-,1,5,-,1,21,-,1,5,-,1,21,-,1,5,-,1,20,-,1,5,-,1,20,-,1,5,-,1,20,-,1,5,0,1,20,0,1,5
"합계",중랑구,1,17,-,3,1,17,-,3,1,17,-,3,1,17,-,3,1,17,-,3,1,17,-,3,1,17,-,3,1,17,-,3,-,1,17,-,-,3,-,1,17,-,-,3,-,1,18,-,-,3,-,1,18,-,-,3,-,1,18,-,1,4,-,1,18,-,1,4,-,1,18,-,1,4,0,1,6,0,1,4,0,1,6,0,1,4,0,1,19,0,1,4,0,1,18,0,1,3,-,1,19,-,1,4,-,1,19,-,1,4,-,1,15,-,1,2,-,1,15,-,1,4,-,1,16,-,1,4,-,1,17,-,1,4,-,1,18,-,1,4,-,1,18,-,1,4,-,1,18,-,1,4,-,1,18,-,1,4,-,1,18,-,1,4,-,1,17,-,1,4,-,1,17,-,1,4,-,1,17,-,1,4,0,1,17,0,1,4
"합계",성북구,2,37,1,4,2,37,1,4,2,37,1,4,2,37,1,4,2,37,1,4,2,37,1,4,2,37,1,4,2,37,1,4,-,2,37,-,1,4,-,2,36,-,1,4,-,2,28,-,1,4,-,2,28,-,1,4,-,2,23,-,1,4,-,2,23,-,1,4,-,2,23,-,1,4,0,2,28,0,1,4,0,2,28,0,1,4,0,2,23,0,1,4,0,2,25,0,1,4,-,2,25,-,1,4,-,2,24,-,1,4,-,2,19,-,1,3,-,2,25,-,1,4,-,2,25,-,1,4,-,2,25,-,1,4,-,2,24,-,1,4,-,2,24,-,1,4,-,2,24,-,1,4,-,2,24,-,1,4,-,2,24,-,1,4,-,2,24,-,1,4,-,2,24,-,1,4,-,2,24,-,1,4,0,2,24,0,1,4
"합계",강북구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,22,-,2,-,1,22,-,-,1,-,1,20,-,-,2,-,1,18,-,-,2,-,1,18,-,-,2,-,1,15,-,-,2,-,1,15,-,-,2,-,1,17,-,-,2,0,1,17,0,0,2,0,1,16,0,0,2,0,1,15,0,0,0,0,1,15,0,0,2,-,1,15,-,-,2,-,1,15,-,-,2,-,1,14,-,-,2,-,1,16,-,-,3,-,1,15,-,-,3,-,1,15,-,1,4,-,1,15,-,1,4,-,1,15,-,1,4,-,1,15,-,1,4,-,1,15,-,1,4,-,1,15,-,1,4,-,1,14,-,1,4,-,1,14,-,1,4,-,1,14,-,1,4,0,1,14,0,1,4
"합계",도봉구,1,31,-,3,1,31,1,4,1,32,1,4,2,32,1,4,2,32,1,4,2,33,1,4,2,33,1,4,1,11,1,2,-,1,11,-,1,3,-,1,12,-,1,2,-,1,12,-,1,3,-,1,12,-,1,3,-,1,11,-,1,3,-,1,11,-,1,3,-,1,12,-,1,3,0,1,15,0,1,4,0,1,15,0,1,4,0,1,11,0,1,5,0,1,15,0,1,3,-,1,12,-,1,3,-,1,12,-,1,3,-,1,13,-,1,3,-,1,11,-,1,3,-,1,11,-,1,3,-,1,11,-,1,3,-,1,11,-,1,3,-,1,10,-,1,3,-,1,10,-,1,4,-,1,10,-,1,4,-,1,10,-,1,4,-,1,9,-,1,4,-,1,9,-,1,4,-,1,9,-,1,4,0,1,9,0,1,4
"합계",노원구,-,16,-,2,-,16,-,2,1,17,-,2,1,17,-,2,1,19,-,2,1,20,1,4,1,20,1,4,1,20,1,4,-,1,20,-,1,4,-,1,21,-,1,4,-,1,20,-,1,4,-,1,20,-,1,4,-,1,20,-,1,4,-,1,20,-,1,4,-,1,20,-,1,4,0,1,20,0,1,5,0,1,20,0,1,5,0,1,20,0,1,4,0,1,20,0,1,5,-,1,20,-,1,5,-,1,20,-,1,5,-,1,20,-,1,5,-,1,19,-,1,5,-,1,19,-,1,5,-,1,19,-,1,5,-,1,19,-,1,5,-,1,19,-,1,5,-,1,19,-,1,5,-,1,19,-,1,5,-,1,19,-,1,5,-,1,18,-,1,5,-,1,17,-,1,5,-,1,16,-,1,5,0,1,16,0,1,5
"합계",은평구,1,19,1,2,1,21,1,2,1,21,1,2,2,22,1,2,2,21,1,2,2,21,1,2,2,21,1,2,2,21,1,2,-,2,21,-,1,3,-,2,21,-,1,3,-,2,19,-,1,4,-,2,19,-,1,4,-,2,19,-,1,4,-,2,19,-,1,4,-,2,19,-,1,4,0,2,20,0,1,4,0,2,19,0,1,4,0,2,19,0,1,4,0,2,19,0,1,4,-,2,19,-,1,4,-,2,19,-,1,4,-,2,18,-,1,4,-,2,17,-,1,4,-,2,19,-,1,4,-,2,19,-,1,4,-,2,19,-,1,4,-,2,20,-,1,4,-,2,20,-,1,4,-,2,20,-,1,4,-,2,20,-,1,4,-,2,20,-,1,4,-,2,20,-,1,4,-,2,20,-,1,4,0,2,20,0,1,4
"합계",서대문구,1,27,-,3,1,27,-,3,1,28,-,3,1,28,-,3,1,28,-,3,1,28,-,4,1,28,-,4,1,28,-,4,1,1,28,-,-,4,1,1,28,-,-,4,1,1,22,-,-,4,1,1,22,-,-,4,1,1,16,-,-,4,1,1,16,-,-,4,1,1,16,-,-,4,1,1,16,0,0,4,1,1,16,0,0,4,1,1,13,0,0,4,1,1,13,0,1,4,1,1,13,-,1,4,1,1,13,-,1,4,1,1,13,-,1,3,1,1,12,-,1,4,1,1,12,-,1,4,1,1,12,-,1,4,1,1,11,-,1,4,1,1,11,-,1,4,1,1,11,-,1,4,1,1,11,-,1,4,1,1,11,-,1,4,1,1,11,-,1,4,1,1,11,-,1,4,1,1,10,-,1,4,1,1,10,0,1,4
"합계",마포구,1,29,1,4,1,29,1,4,1,29,1,5,1,29,1,5,1,29,1,5,1,29,1,5,1,29,1,5,1,29,1,5,-,1,29,-,1,5,-,1,28,-,1,5,-,1,23,-,1,5,-,1,23,-,1,5,-,1,19,-,1,5,-,1,19,-,1,5,-,1,6,-,1,5,0,1,19,0,1,6,0,1,19,0,1,6,0,1,19,0,1,6,0,1,19,0,1,5,-,1,18,-,1,5,-,1,18,-,1,5,-,1,22,-,1,6,-,1,18,-,1,6,-,1,18,-,1,6,-,1,18,-,1,6,-,1,18,-,1,6,-,1,16,-,1,6,-,1,18,-,1,6,-,1,17,-,1,6,-,1,17,-,1,6,-,1,17,-,1,6,-,1,15,-,1,6,-,1,15,-,1,6,0,1,15,0,1,6
"합계",양천구,1,13,-,-,1,15,-,2,1,17,-,2,1,17,-,2,1,18,-,2,1,18,-,2,1,18,-,2,1,18,-,2,-,1,18,-,-,2,-,1,19,-,-,2,-,1,18,-,1,3,-,1,18,-,1,3,-,1,18,-,1,4,-,1,18,-,1,4,-,1,18,-,1,4,0,1,6,0,1,5,0,1,6,0,1,5,0,1,18,0,1,4,0,1,18,0,1,4,-,1,18,-,1,4,-,1,18,-,1,4,-,1,19,-,1,4,-,1,17,-,1,5,-,1,17,-,1,5,-,1,17,-,1,5,-,1,18,-,1,5,-,1,18,-,1,5,-,1,18,-,1,5,-,1,17,-,1,5,-,1,17,-,1,5,-,1,15,-,1,5,-,1,16,-,1,5,-,1,15,-,1,5,0,1,15,0,1,5
"합계",강서구,1,17,1,3,1,17,1,4,1,17,1,4,1,17,1,4,1,17,1,4,1,18,1,3,1,18,1,3,1,18,1,3,-,1,18,-,1,4,-,1,19,-,1,4,-,1,17,-,1,4,-,1,17,-,1,4,-,1,17,-,1,4,-,1,18,-,1,4,-,1,18,-,1,4,0,1,18,0,1,4,0,1,18,0,1,4,0,1,18,0,1,4,0,1,18,0,1,5,-,1,18,-,1,5,-,1,18,-,1,5,-,1,21,-,1,5,-,1,15,-,1,5,-,1,15,-,1,5,-,1,15,-,1,5,-,1,14,-,1,5,-,1,14,-,1,5,-,1,13,-,1,5,-,1,13,-,1,5,-,1,12,-,1,5,-,1,12,-,1,5,-,1,12,-,1,6,-,1,12,-,1,6,0,1,12,0,1,6
"합계",구로구,1,34,-,7,1,34,-,6,1,34,-,6,1,35,1,7,1,36,1,7,1,36,1,7,1,36,1,7,1,20,1,5,-,1,20,-,1,5,-,1,20,-,1,6,-,1,18,-,1,6,-,1,18,-,1,6,-,1,17,-,1,6,-,1,17,-,1,6,-,1,17,-,1,6,0,1,17,0,1,6,0,1,17,0,1,6,0,1,17,0,1,6,0,1,16,0,1,6,-,1,17,-,1,6,-,1,17,-,1,6,-,1,22,-,1,6,-,1,18,-,1,6,-,1,18,-,1,6,-,1,18,-,1,6,-,1,18,-,1,6,-,1,18,-,1,6,-,1,18,-,1,6,-,1,19,-,1,6,-,1,17,-,1,6,-,1,16,-,1,6,-,1,16,-,1,6,-,1,17,-,1,6,0,1,17,0,1,6
"합계",금천구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,2,-,-,16,-,-,3,-,-,15,-,-,2,-,-,14,-,-,2,-,-,14,-,-,2,-,-,12,-,-,2,-,-,12,-,-,2,-,-,12,-,-,2,0,-,12,0,0,2,0,0,12,0,0,2,0,1,13,0,0,2,0,1,13,0,0,2,-,1,13,-,-,2,-,1,13,-,-,2,-,1,17,-,-,3,-,-,11,-,-,2,-,-,11,-,-,2,-,-,11,-,-,2,-,-,11,-,-,2,-,-,11,-,-,2,-,1,12,-,-,2,-,1,12,-,-,2,-,1,12,-,-,2,-,1,12,-,-,2,-,1,12,-,-,2,-,1,12,-,-,2,0,1,12,0,1,2
"합계",영등포구,1,26,1,4,1,26,1,4,1,26,1,4,1,26,1,5,1,26,1,5,1,26,1,5,1,26,1,5,1,26,1,5,-,1,26,-,1,5,-,1,26,-,1,5,-,1,24,-,1,5,-,1,24,-,1,5,-,1,21,-,1,5,-,1,21,-,1,5,-,1,21,-,1,5,0,1,21,0,1,5,0,1,21,0,1,5,0,1,21,0,1,6,0,1,21,0,1,7,-,1,21,-,1,6,-,1,21,-,1,6,-,1,19,-,1,6,-,1,18,-,1,5,-,1,17,-,1,5,-,1,17,-,1,5,-,1,17,-,1,5,-,1,17,-,1,5,-,1,16,-,1,5,-,1,15,-,1,5,-,1,15,-,1,5,-,1,15,-,1,5,-,1,15,-,1,5,-,1,15,-,1,5,0,1,15,0,1,5
"합계",동작구,1,25,-,2,1,25,-,2,1,25,-,3,1,25,-,3,1,25,-,3,1,25,-,3,1,25,-,3,1,26,-,3,-,1,26,-,-,3,-,1,24,-,-,3,-,1,21,-,-,3,-,1,21,-,-,3,-,1,20,-,1,4,-,1,20,-,1,4,-,1,20,-,1,4,0,1,20,0,1,4,0,1,20,0,1,4,0,1,20,0,1,4,0,1,20,0,1,4,-,1,20,-,1,4,-,1,20,-,1,4,-,1,26,-,1,3,-,1,16,-,1,4,-,1,16,-,1,4,-,1,16,-,1,4,-,1,16,-,1,4,-,1,16,-,1,4,-,1,16,-,1,4,-,1,16,-,1,4,-,1,17,-,1,4,-,1,17,-,1,4,-,1,17,-,1,4,-,1,17,-,1,4,0,1,17,0,1,4
"합계",관악구,1,24,-,2,1,24,-,3,1,26,-,3,2,26,-,3,2,25,-,3,2,26,-,3,2,26,1,4,2,26,1,4,-,2,26,-,1,4,-,2,26,-,1,4,-,2,24,-,1,4,-,2,24,-,1,4,-,2,22,-,1,4,-,2,22,-,1,4,-,2,23,-,1,4,0,2,22,0,1,5,0,2,22,0,1,5,0,1,21,0,1,4,0,2,22,0,1,4,-,1,20,-,1,4,-,1,20,-,1,4,-,1,9,-,1,-,-,2,22,-,1,4,-,2,22,-,1,4,-,2,22,-,1,4,-,2,21,-,1,4,-,2,21,-,1,4,-,1,20,-,1,4,-,1,20,-,1,4,-,1,20,-,1,4,-,1,19,-,1,4,-,1,19,-,1,4,-,1,19,-,1,4,0,1,18,0,1,4
"합계",서초구,2,15,1,4,2,16,1,4,2,18,1,5,2,18,1,5,2,16,1,5,2,16,1,4,2,16,1,4,2,15,1,5,-,2,16,-,1,5,-,2,17,-,1,6,-,2,17,-,1,6,-,2,17,-,1,6,-,2,17,-,1,6,-,2,17,-,1,6,-,2,17,-,1,6,0,2,17,0,1,6,0,2,17,0,1,6,0,2,17,0,1,5,0,2,17,0,1,6,-,2,17,-,1,6,-,2,17,-,1,6,-,2,18,-,1,6,-,2,16,-,1,6,-,2,18,-,1,6,-,2,18,-,1,6,-,2,18,-,1,6,-,2,18,-,1,6,-,2,19,-,1,6,-,2,19,-,1,6,-,2,19,-,1,6,-,2,19,-,1,6,-,2,19,-,1,6,-,2,19,-,1,6,0,2,19,0,1,6
"합계",강남구,1,17,1,3,1,18,1,3,1,19,1,3,1,22,1,3,1,22,1,3,1,23,1,4,1,22,1,4,1,22,1,4,-,1,23,-,1,4,-,1,23,-,1,4,-,2,22,-,1,5,-,2,22,-,1,5,-,2,22,-,1,5,-,2,22,-,1,5,-,2,21,-,1,5,0,2,26,0,1,1,0,2,22,0,1,1,0,2,22,0,1,5,0,2,23,0,1,6,-,2,23,-,1,5,-,2,20,-,1,5,-,2,22,-,1,6,-,2,23,-,1,5,-,2,23,-,1,5,-,2,23,-,1,5,-,2,23,-,1,5,-,2,23,-,1,5,-,2,23,-,1,5,-,2,24,-,1,5,-,2,24,-,1,5,-,2,23,-,1,6,-,2,21,-,1,6,-,2,21,-,1,6,0,2,21,0,1,6
"합계",송파구,-,17,-,3,-,18,-,4,1,20,-,4,1,20,-,4,1,24,-,4,1,24,-,4,1,24,-,4,1,24,1,5,-,1,24,-,1,5,-,1,24,-,1,5,-,1,23,-,1,6,-,1,23,-,1,6,-,1,22,-,1,6,-,1,22,-,1,6,-,1,22,-,1,6,0,1,22,0,1,6,0,1,22,0,1,6,0,1,22,0,1,6,0,1,22,0,1,6,-,1,22,-,1,6,-,1,22,-,1,6,-,1,20,-,1,7,-,1,21,-,1,6,-,1,21,-,1,6,-,1,21,-,1,6,-,1,21,-,1,6,-,1,21,-,1,6,-,1,21,-,1,6,-,1,21,-,1,6,-,1,21,-,1,6,-,1,20,-,1,6,-,1,20,-,1,6,-,1,21,-,1,6,0,1,21,0,1,6
"합계",강동구,1,16,1,3,1,16,1,3,1,19,1,3,1,19,1,3,1,19,1,3,1,19,1,4,1,19,1,4,1,19,1,3,-,1,20,-,1,4,-,1,20,-,1,4,-,1,20,-,1,4,-,1,20,-,1,4,-,1,18,-,1,5,-,1,18,-,1,5,-,1,18,-,1,5,0,1,15,0,1,6,0,1,18,0,1,6,0,1,18,0,1,5,0,1,18,0,1,5,-,1,18,-,1,5,-,1,18,-,1,5,-,1,19,-,1,4,-,1,17,-,1,5,-,1,18,-,1,5,-,1,18,-,1,5,-,1,18,-,1,5,-,1,18,-,1,5,-,1,17,-,1,5,-,1,17,-,1,5,-,1,17,-,1,5,-,1,16,-,1,5,-,1,16,-,1,5,-,1,16,-,1,6,0,1,16,0,1,6
"합계",기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
